Tag|Longer|Shorter|Score|Ratio|Equivalence
[NN]|twenty-seven|27|0-0|0.1666666666666666|Equivalence
[CD]|twenty-three|23|0-0|0.1666666666666666|Equivalence
[NNP]|twenty-seven|27|0-0|0.1666666666666666|Equivalence
[NNP]|twenty-eight|28|0-0|0.1666666666666666|Equivalence
[JJ]|one-hundred-and-twenty-second|122nd|0-0|0.1724137931034483|Equivalence
[JJ]|three-dimensional|3-d|0-0|0.1764705882352941|Equivalence
[JJ]|one-hundred-and-twenty-third|123rd|0-0|0.1785714285714285|Equivalence
[JJ]|one-hundred-and-twenty-first|121st|0-0|0.1785714285714285|Equivalence
[NN]|sixty-eight|68|0-0|0.1818181818181818|Equivalence
[CD]|thirty-four|34|0-0|0.1818181818181818|Equivalence
[JJ]|ultraviolet|uv|0-0|0.1818181818181818|Equivalence
[NN]|twenty-four|24|0-0|0.1818181818181818|Equivalence
[NNS]|millimetres|mm|0-0|0.1818181818181818|Equivalence
[NN]|fifty-eight|58|0-0|0.1818181818181818|Equivalence
[NNP]|thirty-four|34|0-0|0.1818181818181818|Equivalence
[NNS]|millilitres|ml|0-0|0.1818181818181818|Equivalence
[CD]|ninety-nine|99|0-0|0.1818181818181818|Equivalence
[NNS]|kilogrammes|kg|0-0|0.1818181818181818|Equivalence
[VBD]|twenty-four|24|0-0|0.1818181818181818|Equivalence
[CD]|twenty-four|24|0-0|0.1818181818181818|Equivalence
[NN]|ultraviolet|uv|0-0|0.1818181818181818|Equivalence
[NNP]|televisions|tv|0-0|0.1818181818181818|Equivalence
[NN]|ninety-nine|99|0-0|0.1818181818181818|Equivalence
[JJ]|seventy-six|76|0-0|0.1818181818181818|Equivalence
[JJ]|thirty-four|34|0-0|0.1818181818181818|Equivalence
[CD]|fifty-eight|58|0-0|0.1818181818181818|Equivalence
[JJ]|fifty-eight|58|0-0|0.1818181818181818|Equivalence
[CD]|thirty-nine|39|0-0|0.1818181818181818|Equivalence
[JJ]|forty-three|43|0-0|0.1818181818181818|Equivalence
[JJ]|sixty-eight|68|0-0|0.1818181818181818|Equivalence
[JJ]|ninety-nine|99|0-0|0.1818181818181818|Equivalence
[NN]|fifty-three|53|0-0|0.1818181818181818|Equivalence
[NNS]|centimeters|cm|0-0|0.1818181818181818|Equivalence
[CD]|fifty-three|53|0-0|0.1818181818181818|Equivalence
[NNS]|millimeters|mm|0-0|0.1818181818181818|Equivalence
[NN]|forty-three|43|0-0|0.1818181818181818|Equivalence
[NNS]|centimetres|cm|0-0|0.1818181818181818|Equivalence
[RB]|centimeters|cm|0-0|0.1818181818181818|Equivalence
[JJ]|twenty-four|24|0-0|0.1818181818181818|Equivalence
[NN]|seventy-six|76|0-0|0.1818181818181818|Equivalence
[CD]|sixty-eight|68|0-0|0.1818181818181818|Equivalence
[JJ]|fifty-three|53|0-0|0.1818181818181818|Equivalence
[NN]|thirty-nine|39|0-0|0.1818181818181818|Equivalence
[RB]|thirty-four|34|0-0|0.1818181818181818|Equivalence
[JJ]|thirty-nine|39|0-0|0.1818181818181818|Equivalence
[NN]|thirty-four|34|0-0|0.1818181818181818|Equivalence
[JJ]|ninety-four|94|0-0|0.1818181818181818|Equivalence
[NNS]|parliamentarians|mps|0-0|0.1875|Equivalence
[NNPS]|parliamentarians|mps|0-0|0.1875|Equivalence
[NN]|director-general|ceo|0-0|0.1875|Equivalence
[JJ]|non-governmental|ngo|0-0|0.1875|Equivalence
[NN]|non-governmental|ngo|0-0|0.1875|Equivalence
[JJ]|one-hundred-and-nineteenth|119th|0-0|0.1923076923076923|Equivalence
[JJ]|identifier|id|0-0|0.2|Equivalence
[NN]|sixty-nine|69|0-0|0.2|Equivalence
[NN]|forty-nine|49|0-0|0.2|Equivalence
[NNP]|fifty-five|55|0-0|0.2|Equivalence
[NN]|twenty-six|26|0-0|0.2|Equivalence
[JJ]|forty-five|45|0-0|0.2|Equivalence
[NN]|twenty-two|22|0-0|0.2|Equivalence
[JJ]|eighty-six|86|0-0|0.2|Equivalence
[JJ]|twenty-six|26|0-0|0.2|Equivalence
[NN]|thirty-two|32|0-0|0.2|Equivalence
[NNS]|twenty-one|21|0-0|0.2|Equivalence
[NN]|thirty-six|36|0-0|0.2|Equivalence
[RB]|twenty-one|21|0-0|0.2|Equivalence
[CD]|twenty-one|21|0-0|0.2|Equivalence
[CD]|fifty-five|55|0-0|0.2|Equivalence
[NNS]|kilometers|km|0-0|0.2|Equivalence
[JJ]|ninety-one|91|0-0|0.2|Equivalence
[JJ]|forty-nine|49|0-0|0.2|Equivalence
[JJ]|fifty-five|55|0-0|0.2|Equivalence
[CD]|grams|g|0-0|0.2|Equivalence
[NNPS]|kilometers|km|0-0|0.2|Equivalence
[NNS]|milligrams|mg|0-0|0.2|Equivalence
[NNP]|television|tv|0-0|0.2|Equivalence
[CD]|sixty-nine|69|0-0|0.2|Equivalence
[JJ]|ninety-two|92|0-0|0.2|Equivalence
[JJ]|thirty-six|36|0-0|0.2|Equivalence
[NN]|twenty-one|21|0-0|0.2|Equivalence
[JJ]|twenty-one|21|0-0|0.2|Equivalence
[NN]|television|tv|0-0|0.2|Equivalence
[JJ]|thirty-two|32|0-0|0.2|Equivalence
[NN]|fifty-five|55|0-0|0.2|Equivalence
[JJ]|ninety-six|96|0-0|0.2|Equivalence
[NN]|ninety-one|91|0-0|0.2|Equivalence
[JJ]|sixty-nine|69|0-0|0.2|Equivalence
[JJ]|twenty-two|22|0-0|0.2|Equivalence
[NN]|ninety-two|92|0-0|0.2|Equivalence
[CD]|thirty-six|36|0-0|0.2|Equivalence
[NN]|identifier|id|0-0|0.2|Equivalence
[OOV]|kilometres|km|0-0|0.2|Equivalence
[CD]|forty-five|45|0-0|0.2|Equivalence
[NNS]|zeros|0|0-0|0.2|Equivalence
[CD]|twenty-six|26|0-0|0.2|Equivalence
[NN]|eighty-six|86|0-0|0.2|Equivalence
[NN]|forty-five|45|0-0|0.2|Equivalence
[CD]|forty-nine|49|0-0|0.2|Equivalence
[NNS]|kilometres|km|0-0|0.2|Equivalence
[NNP]|twenty-one|21|0-0|0.2|Equivalence
[CD]|twenty-two|22|0-0|0.2|Equivalence
[VBP]|identifier|id|0-0|0.2|Equivalence
[RB]|kilometers|km|0-0|0.2|Equivalence
[CD]|thirty-two|32|0-0|0.2|Equivalence
[NN]|ninety-six|96|0-0|0.2|Equivalence
[CD]|ninety-six|96|0-0|0.2|Equivalence
[NNS]|hydrochlorofluorocarbons|hcfcs|0-0|0.2083333333333333|Equivalence
[NNS]|kilowatt-hours|kwh|0-0|0.2142857142857142|Equivalence
[JJ]|greenhouse-gas|ghg|0-0|0.2142857142857142|Equivalence
[NN]|forty-six|46|0-0|0.2222222222222222|Equivalence
[NN]|kilometer|km|0-0|0.2222222222222222|Equivalence
[CD]|forty-six|46|0-0|0.2222222222222222|Equivalence
[FW]|kilometre|km|0-0|0.2222222222222222|Equivalence
[NN]|sixty-six|66|0-0|0.2222222222222222|Equivalence
[NNS]|kilograms|kg|0-0|0.2222222222222222|Equivalence
[NNS]|megawatts|mw|0-0|0.2222222222222222|Equivalence
[NN]|kilometre|km|0-0|0.2222222222222222|Equivalence
[NNS]|kilobytes|kb|0-0|0.2222222222222222|Equivalence
[JJ]|sixty-six|66|0-0|0.2222222222222222|Equivalence
[NN]|sixty-two|62|0-0|0.2222222222222222|Equivalence
[JJ]|sixty-two|62|0-0|0.2222222222222222|Equivalence
[NNPS]|megawatts|mw|0-0|0.2222222222222222|Equivalence
[JJ]|kilometre|km|0-0|0.2222222222222222|Equivalence
[NNPS]|gigabytes|gb|0-0|0.2222222222222222|Equivalence
[NNPS]|kilograms|kg|0-0|0.2222222222222222|Equivalence
[JJ]|forty-six|46|0-0|0.2222222222222222|Equivalence
[NNS]|zero|0|0-0|0.25|Equivalence
[VBN]|nineteen|19|0-0|0.25|Equivalence
[NN]|thirteen|13|0-0|0.25|Equivalence
[JJ]|thirteen|13|0-0|0.25|Equivalence
[NNS]|responsibilities|duty|0-0|0.25|Equivalence
[NN]|remuneration|pay|0-0|0.25|Equivalence
[NNP]|headquarters|hqs|0-0|0.25|Equivalence
[NNPS]|headquarters|hqs|0-0|0.25|Equivalence
[NN]|megawatt|mw|0-0|0.25|Equivalence
[NN]|nineteen|19|0-0|0.25|Equivalence
[NNS]|parliamentarians|meps|0-0|0.25|Equivalence
[NNS]|headquarters|hqs|0-0|0.25|Equivalence
[VBP]|nineteen|19|0-0|0.25|Equivalence
[CD]|nine|9|0-0|0.25|Equivalence
[CD]|billions|bn|0-0|0.25|Equivalence
[NNP]|nineteen|19|0-0|0.25|Equivalence
[CD]|zero|0|0-0|0.25|Equivalence
[JJ]|kilogram|kg|0-0|0.25|Equivalence
[NNP]|prohibitions|ban|0-0|0.25|Equivalence
[JJ]|nineteen|19|0-0|0.25|Equivalence
[NNPS]|parliamentarians|meps|0-0|0.25|Equivalence
[NN]|kilogram|kg|0-0|0.25|Equivalence
[JJ]|nine|9|0-0|0.25|Equivalence
[CD]|nineteen|19|0-0|0.25|Equivalence
[NN]|zero|0|0-0|0.25|Equivalence
[JJ]|zero|0|0-0|0.25|Equivalence
[VBP]|zero|0|0-0|0.25|Equivalence
[CD]|thirteen|13|0-0|0.25|Equivalence
[VBN]|zero|0|0-0|0.25|Equivalence
[NN]|nine|9|0-0|0.25|Equivalence
[NNS]|antiretrovirals|arvs|0-0|0.2666666666666666|Equivalence
[NN]|legislation|law|0-0|0.2727272727272727|Equivalence
[NNS]|centimeters|cms|0-0|0.2727272727272727|Equivalence
[NNS]|televisions|tvs|0-0|0.2727272727272727|Equivalence
[VBD]|utilization|use|0-0|0.2727272727272727|Equivalence
[NNS]|identifiers|ids|0-0|0.2727272727272727|Equivalence
[JJ]|prohibition|ban|0-0|0.2727272727272727|Equivalence
[NNPS]|identifiers|ids|0-0|0.2727272727272727|Equivalence
[VB]|prohibiting|ban|0-0|0.2727272727272727|Equivalence
[NNS]|centimetres|cms|0-0|0.2727272727272727|Equivalence
[NNS]|homosexuals|gay|0-0|0.2727272727272727|Equivalence
[NNP]|prohibition|ban|0-0|0.2727272727272727|Equivalence
[VB]|prohibition|ban|0-0|0.2727272727272727|Equivalence
[NN]|utilization|use|0-0|0.2727272727272727|Equivalence
[NN]|prohibition|ban|0-0|0.2727272727272727|Equivalence
[NNP]|televisions|tvs|0-0|0.2727272727272727|Equivalence
[NNS]|kilogrammes|kgs|0-0|0.2727272727272727|Equivalence
[CD]|fifteen|15|0-0|0.2857142857142857|Equivalence
[JJ]|sixteen|16|0-0|0.2857142857142857|Equivalence
[NN]|responsibility|duty|0-0|0.2857142857142857|Equivalence
[JJ]|seventy|70|0-0|0.2857142857142857|Equivalence
[VBN]|fifteen|15|0-0|0.2857142857142857|Equivalence
[NN]|seventy|70|0-0|0.2857142857142857|Equivalence
[CD]|sixteen|16|0-0|0.2857142857142857|Equivalence
[NN]|sixteen|16|0-0|0.2857142857142857|Equivalence
[CD]|seventy|70|0-0|0.2857142857142857|Equivalence
[NN]|fifteen|15|0-0|0.2857142857142857|Equivalence
[JJ]|fifteen|15|0-0|0.2857142857142857|Equivalence
[JJ]|anti-satellite|asat|0-0|0.2857142857142857|Equivalence
[CD]|billion|bn|0-0|0.2857142857142857|Equivalence
[VBN]|prohibited|ban|0-0|0.3|Equivalence
[VBN]|proscribed|ban|0-0|0.3|Equivalence
[NNS]|twenty-one|21s|0-0|0.3|Equivalence
[NNP]|television|tvs|0-0|0.3|Equivalence
[NNS]|kilometers|kms|0-0|0.3|Equivalence
[NNS]|facsimiles|fax|0-0|0.3|Equivalence
[NNS]|objectives|aim|0-0|0.3|Equivalence
[NNS]|milligrams|mgs|0-0|0.3|Equivalence
[JJ]|kuomintang|kmt|0-0|0.3|Equivalence
[NN]|automobile|car|0-0|0.3|Equivalence
[JJ]|homosexual|gay|0-0|0.3|Equivalence
[NNS]|kilometres|kms|0-0|0.3|Equivalence
[NNPS]|concentrators|hubs|0-0|0.3076923076923077|Equivalence
[JJ]|seventy-third|73rd|0-0|0.3076923076923077|Equivalence
[RB]|unfortunately|alas|0-0|0.3076923076923077|Equivalence
[JJ]|twenty-second|22nd|0-0|0.3076923076923077|Equivalence
[JJ]|twenty-eighth|28th|0-0|0.3076923076923077|Equivalence
[RB]|appropriately|duly|0-0|0.3076923076923077|Equivalence
[JJ]|extraterrestrial|alien|0-0|0.3125|Equivalence
[NN]|objective|aim|0-0|0.3333333333333333|Equivalence
[VBZ]|billionairedesires|covets|0-0|0.3333333333333333|Equivalence
[NN]|facsimile|fax|0-0|0.3333333333333333|Equivalence
[JJ]|facsimile|fax|0-0|0.3333333333333333|Equivalence
[CD]|six|6|0-0|0.3333333333333333|Equivalence
[JJ]|eleven|11|0-0|0.3333333333333333|Equivalence
[VBZ]|prohibitions|bans|0-0|0.3333333333333333|Equivalence
[NN]|eighty|80|0-0|0.3333333333333333|Equivalence
[JJ]|twenty-third|23rd|0-0|0.3333333333333333|Equivalence
[CD]|eighty|80|0-0|0.3333333333333333|Equivalence
[NNP]|eleven|11|0-0|0.3333333333333333|Equivalence
[JJ]|influenza|flu|0-0|0.3333333333333333|Equivalence
[JJ]|ninety-ninth|99th|0-0|0.3333333333333333|Equivalence
[VBD]|objective|aim|0-0|0.3333333333333333|Equivalence
[VBG]|defraying|pay|0-0|0.3333333333333333|Equivalence
[JJ]|discourteous|rude|0-0|0.3333333333333333|Equivalence
[NNS]|objective|aim|0-0|0.3333333333333333|Equivalence
[NN]|twelve|12|0-0|0.3333333333333333|Equivalence
[NNP]|eighty|80|0-0|0.3333333333333333|Equivalence
[NN]|petroleum|oil|0-0|0.3333333333333333|Equivalence
[VBD]|triumphed|won|0-0|0.3333333333333333|Equivalence
[NNS]|applications|apps|0-0|0.3333333333333333|Equivalence
[NNS]|utilizations|uses|0-0|0.3333333333333333|Equivalence
[NNS]|shortcomings|gaps|0-0|0.3333333333333333|Equivalence
[NN]|influenza|flu|0-0|0.3333333333333333|Equivalence
[VB]|prohibits|ban|0-0|0.3333333333333333|Equivalence
[CD]|twelve|12|0-0|0.3333333333333333|Equivalence
[RB]|subsequently|then|0-0|0.3333333333333333|Equivalence
[NNPS]|applications|apps|0-0|0.3333333333333333|Equivalence
[JJ]|twenty-first|21st|0-0|0.3333333333333333|Equivalence
[JJ]|re-synchronization|resync|0-0|0.3333333333333333|Equivalence
[JJ]|ninety|90|0-0|0.3333333333333333|Equivalence
[JJ]|twelve|12|0-0|0.3333333333333333|Equivalence
[VBN]|forbidden|ban|0-0|0.3333333333333333|Equivalence
[NNPS]|prohibitions|bans|0-0|0.3333333333333333|Equivalence
[JJ]|thirty-third|33rd|0-0|0.3333333333333333|Equivalence
[RB]|consequently|thus|0-0|0.3333333333333333|Equivalence
[JJ]|essential|key|0-0|0.3333333333333333|Equivalence
[NN]|eleven|11|0-0|0.3333333333333333|Equivalence
[VBN]|disguised|hid|0-0|0.3333333333333333|Equivalence
[CD]|eleven|11|0-0|0.3333333333333333|Equivalence
[NNS]|kilograms|kgs|0-0|0.3333333333333333|Equivalence
[NNPS]|laboratories|labs|0-0|0.3333333333333333|Equivalence
[JJ]|doctorate|phd|0-0|0.3333333333333333|Equivalence
[NN]|ninety|90|0-0|0.3333333333333333|Equivalence
[CD]|ninety|90|0-0|0.3333333333333333|Equivalence
[NNP]|prohibitions|bans|0-0|0.3333333333333333|Equivalence
[VBN]|moistened|wet|0-0|0.3333333333333333|Equivalence
[JJ]|eighty|80|0-0|0.3333333333333333|Equivalence
[FW]|informations|info|0-0|0.3333333333333333|Equivalence
[NN]|characteristics|trait|0-0|0.3333333333333333|Equivalence
[NNPS]|americans|u.s|0-0|0.3333333333333333|Equivalence
[JJ]|thirty-sixth|36th|0-0|0.3333333333333333|Equivalence
[NN]|doctorate|phd|0-0|0.3333333333333333|Equivalence
[NNS]|extraterrestrials|aliens|0-0|0.3529411764705882|Equivalence
[NN]|short-sightedness|myopia|0-0|0.3529411764705882|Equivalence
[VBG]|fuckingdepressing|moping|0-0|0.3529411764705882|Equivalence
[NN]|characteristic|trait|0-0|0.3571428571428571|Equivalence
[NNPS]|specifications|specs|0-0|0.3571428571428571|Equivalence
[JJ]|cost-effective|cost-|0-0|0.3571428571428571|Equivalence
[NN]|disintegration|decay|0-0|0.3571428571428571|Equivalence
[JJ]|aforementioned|above|0-0|0.3571428571428571|Equivalence
[NNP]|prohibition|bans|0-0|0.3636363636363636|Equivalence
[JJ]|two-pronged|dual|0-0|0.3636363636363636|Equivalence
[NNP]|mathematics|math|0-0|0.3636363636363636|Equivalence
[VBN]|disappeared|gone|0-0|0.3636363636363636|Equivalence
[VBD]|overpowered|beat|0-0|0.3636363636363636|Equivalence
[NNPS]|discussions|talk|0-0|0.3636363636363636|Equivalence
[JJ]|counterfeit|fake|0-0|0.3636363636363636|Equivalence
[VBG]|visualizing|view|0-0|0.3636363636363636|Equivalence
[NN]|instruments|tool|0-0|0.3636363636363636|Equivalence
[NNS]|automobiles|cars|0-0|0.3636363636363636|Equivalence
[RB]|competently|ably|0-0|0.3636363636363636|Equivalence
[VB]|information|info|0-0|0.3636363636363636|Equivalence
[NN]|examination|exam|0-0|0.3636363636363636|Equivalence
[VBP]|information|info|0-0|0.3636363636363636|Equivalence
[JJ]|fifty-sixth|56th|0-0|0.3636363636363636|Equivalence
[VBZ]|prohibiting|bans|0-0|0.3636363636363636|Equivalence
[NN]|counterfeit|fake|0-0|0.3636363636363636|Equivalence
[VBN]|accelerated|sped|0-0|0.3636363636363636|Equivalence
[NNPS]|regulations|regs|0-0|0.3636363636363636|Equivalence
[JJ]|comfortable|cosy|0-0|0.3636363636363636|Equivalence
[JJ]|significant|huge|0-0|0.3636363636363636|Equivalence
[NNPS]|prohibition|bans|0-0|0.3636363636363636|Equivalence
[JJ]|information|info|0-0|0.3636363636363636|Equivalence
[VBG]|confronting|face|0-0|0.3636363636363636|Equivalence
[JJ]|mathematics|math|0-0|0.3636363636363636|Equivalence
[VBZ]|prohibition|bans|0-0|0.3636363636363636|Equivalence
[VBD]|utilization|used|0-0|0.3636363636363636|Equivalence
[NNS]|homosexuals|gays|0-0|0.3636363636363636|Equivalence
[VBD]|accelerated|sped|0-0|0.3636363636363636|Equivalence
[JJ]|comfortable|cozy|0-0|0.3636363636363636|Equivalence
[VB]|collaborate|work|0-0|0.3636363636363636|Equivalence
[NNS]|obligations|duty|0-0|0.3636363636363636|Equivalence
[VBG]|visualising|view|0-0|0.3636363636363636|Equivalence
[VBD]|information|info|0-0|0.3636363636363636|Equivalence
[NN]|information|info|0-0|0.3636363636363636|Equivalence
[VBD]|disappeared|gone|0-0|0.3636363636363636|Equivalence
[VBD]|disappeared|went|0-0|0.3636363636363636|Equivalence
[VBG]|enumerating|list|0-0|0.3636363636363636|Equivalence
[NNS]|responsibilities|duties|0-0|0.375|Equivalence
[NNPS]|responsibilities|duties|0-0|0.375|Equivalence
[VBN]|advanced|led|0-0|0.375|Equivalence
[JJ]|renminbi|rmb|0-0|0.375|Equivalence
[NN]|pleasure|joy|0-0|0.375|Equivalence
[NN]|millions|mln|0-0|0.375|Equivalence
[NN]|shortsightedness|myopia|0-0|0.375|Equivalence
[NN]|renminbi|rmb|0-0|0.375|Equivalence
[VBP]|prohibit|ban|0-0|0.375|Equivalence
[JJ]|cause-and-effect|causal|0-0|0.375|Equivalence
[NN]|february|feb|0-0|0.375|Equivalence
[VB]|prohibit|ban|0-0|0.375|Equivalence
[NN]|children|kid|0-0|0.375|Equivalence
[NNS]|february|feb|0-0|0.375|Equivalence
[JJ]|doctoral|phd|0-0|0.375|Equivalence
[NNS]|attempts|try|0-0|0.375|Equivalence
[NNS]|conversations|talks|0-0|0.3846153846153846|Equivalence
[NNS]|carbohydrates|carbs|0-0|0.3846153846153846|Equivalence
[JJ]|81-millimetre|81-mm|0-0|0.3846153846153846|Equivalence
[NN]|circumference|girth|0-0|0.3846153846153846|Equivalence
[NNS]|slaughterings|culls|0-0|0.3846153846153846|Equivalence
[VB]|ill-treatment|abuse|0-0|0.3846153846153846|Equivalence
[NN]|poliomyelitis|polio|0-0|0.3846153846153846|Equivalence
[VBN]|counterfeited|faked|0-0|0.3846153846153846|Equivalence
[JJ]|poliomyelitis|polio|0-0|0.3846153846153846|Equivalence
[JJ]|indispensable|vital|0-0|0.3846153846153846|Equivalence
[NN]|ill-treatment|abuse|0-0|0.3846153846153846|Equivalence
[NN]|investigation|probe|0-0|0.3846153846153846|Equivalence
[JJ]|inappropriate|wrong|0-0|0.3846153846153846|Equivalence
[VBG]|photographing|photo|0-0|0.3846153846153846|Equivalence
[NN]|decomposition|decay|0-0|0.3846153846153846|Equivalence
[VBP]|poliomyelitis|polio|0-0|0.3846153846153846|Equivalence
[RB]|unfortunately|sadly|0-0|0.3846153846153846|Equivalence
[JJ]|euro-mediterranean|euromed|0-0|0.3888888888888889|Equivalence
[NNP]|euro-mediterranean|euromed|0-0|0.3888888888888889|Equivalence
[NN]|high-definition|hi-def|0-0|0.4|Equivalence
[JJ]|fourteenth|14th|0-0|0.4|Equivalence
[NNS]|spotlights|foci|0-0|0.4|Equivalence
[NNS]|kilos|kg|0-0|0.4|Equivalence
[JJ]|adolescent|teen|0-0|0.4|Equivalence
[NN]|ammunition|ammo|0-0|0.4|Equivalence
[NNS]|colourants|dyes|0-0|0.4|Equivalence
[JJ]|sexually-transmitted|venereal|0-0|0.4|Equivalence
[NNS]|doctorates|phds|0-0|0.4|Equivalence
[NN]|fourteenth|14th|0-0|0.4|Equivalence
[NNPS]|objectives|aims|0-0|0.4|Equivalence
[VBN]|confronted|face|0-0|0.4|Equivalence
[VB]|incinerate|burn|0-0|0.4|Equivalence
[VBG]|displaying|show|0-0|0.4|Equivalence
[VBN]|counterbalanced|offset|0-0|0.4|Equivalence
[VBN]|despatched|sent|0-0|0.4|Equivalence
[NN]|partiality|bias|0-0|0.4|Equivalence
[NNS]|objectives|aims|0-0|0.4|Equivalence
[JJ]|infrequent|rare|0-0|0.4|Equivalence
[NN]|automobile|auto|0-0|0.4|Equivalence
[JJ]|eighteenth|18th|0-0|0.4|Equivalence
[NNS]|characteristics|traits|0-0|0.4|Equivalence
[VBD]|increasing|rise|0-0|0.4|Equivalence
[VBD]|increasing|rose|0-0|0.4|Equivalence
[JJ]|nineteenth|19th|0-0|0.4|Equivalence
[JJ]|courageous|bold|0-0|0.4|Equivalence
[VBD]|dispatched|send|0-0|0.4|Equivalence
[NNS]|terminates|ends|0-0|0.4|Equivalence
[VBD]|dispatched|sent|0-0|0.4|Equivalence
[RB]|adequately|duly|0-0|0.4|Equivalence
[NNPS]|characteristics|habits|0-0|0.4|Equivalence
[JJ]|seventieth|70th|0-0|0.4|Equivalence
[JJ]|tremendous|huge|0-0|0.4|Equivalence
[NN]|instrument|tool|0-0|0.4|Equivalence
[NNPS]|characteristics|traits|0-0|0.4|Equivalence
[VBN]|dispatched|send|0-0|0.4|Equivalence
[VBN]|dispatched|sent|0-0|0.4|Equivalence
[NNS]|principals|main|0-0|0.4|Equivalence
[NNPS]|configures|sets|0-0|0.4|Equivalence
[NN]|adolescent|teen|0-0|0.4|Equivalence
[NNPS]|reductions|cuts|0-0|0.4|Equivalence
[JJ]|science-fiction|sci-fi|0-0|0.4|Equivalence
[JJ]|despicable|vile|0-0|0.4|Equivalence
[NN]|thirteenth|13th|0-0|0.4|Equivalence
[VBZ]|overpowers|beat|0-0|0.4|Equivalence
[VBD]|increasing|grew|0-0|0.4|Equivalence
[RB]|extraordinarily|hugely|0-0|0.4|Equivalence
[NN]|eighteenth|18th|0-0|0.4|Equivalence
[VBZ]|disappears|goes|0-0|0.4|Equivalence
[VB]|increasing|rise|0-0|0.4|Equivalence
[JJ]|thirteenth|13th|0-0|0.4|Equivalence
[JJ]|high-definition|hi-def|0-0|0.4|Equivalence
[NNS]|disintegrations|decays|0-0|0.4|Equivalence
[NNS]|neo-conservatives|neocons|0-0|0.4117647058823529|Equivalence
[VBN]|concentrated|focus|0-0|0.4166666666666667|Equivalence
[VBN]|discontinued|ended|0-0|0.4166666666666667|Equivalence
[NN]|maltreatment|abuse|0-0|0.4166666666666667|Equivalence
[NNS]|examinations|exams|0-0|0.4166666666666667|Equivalence
[NNP]|azerbaijanis|azeri|0-0|0.4166666666666667|Equivalence
[VBG]|constraining|limit|0-0|0.4166666666666667|Equivalence
[NN]|verification|audit|0-0|0.4166666666666667|Equivalence
[NNPS]|perspectives|views|0-0|0.4166666666666667|Equivalence
[NN]|perspiration|sweat|0-0|0.4166666666666667|Equivalence
[VBN]|photographed|photo|0-0|0.4166666666666667|Equivalence
[NNPS]|examinations|exams|0-0|0.4166666666666667|Equivalence
[VBG]|accelerating|speed|0-0|0.4166666666666667|Equivalence
[VBD]|expenditures|spent|0-0|0.4166666666666667|Equivalence
[RB]|consequently|hence|0-0|0.4166666666666667|Equivalence
[VBD]|concentrated|focus|0-0|0.4166666666666667|Equivalence
[NN]|manufacturer|maker|0-0|0.4166666666666667|Equivalence
[NNS]|counterfeits|fakes|0-0|0.4166666666666667|Equivalence
[NN]|commencement|start|0-0|0.4166666666666667|Equivalence
[NNS]|negotiations|talks|0-0|0.4166666666666667|Equivalence
[NN]|mistreatment|abuse|0-0|0.4166666666666667|Equivalence
[NNPS]|technologies|techs|0-0|0.4166666666666667|Equivalence
[NN]|re-examination|review|0-0|0.4285714285714285|Equivalence
[NN]|attempt|try|0-0|0.4285714285714285|Equivalence
[NNS]|ill-treatments|abuses|0-0|0.4285714285714285|Equivalence
[RB]|affectionately|fondly|0-0|0.4285714285714285|Equivalence
[NN]|soybean|soy|0-0|0.4285714285714285|Equivalence
[JJ]|bidding|bid|0-0|0.4285714285714285|Equivalence
